,Unnamed: 0_x,name,혼자,액티비티,자연,힐링,Unnamed: 0_y,addr1,cat1,cat2,cat3,힐링_int,혼자_int,자연_int,액티비티_int,province,city
345,345,청주 뉴베라 관광호텔,0.5407016939587064,0.6061639719539218,0.6178815364837646,0.6302987999386258,345,충청북도 청주시 흥덕구 풍년로193번길 32,B02,B0201,B02010100,0,0,0,0,충청북도,청주시
346,346,청주온천호텔,0.4159491856892903,0.528112456202507,0.5208965639273325,0.5648403018712997,346,충청남도 아산시 충무로8번길 6,B02,B0201,B02010900,0,0,0,0,충청남도,아산시
347,347,청초비치 모텔,0.4798508256673813,0.5349443435668946,0.5540091544389725,0.6027590304613113,347,강원특별자치도 속초시 동해대로 4092,B02,B0201,B02010900,0,0,0,0,강원특별자치도,속초시
348,348,충주그랜드관광호텔,0.481701417101754,0.5159350534280142,0.5253696309195625,0.5730361375543807,348,충청북도 충주시 중원대로 3496,B02,B0201,B02010100,0,0,1,0,충청북도,충주시
349,349,칠십리호텔,0.5555065657411303,0.7044473801340375,0.679687534059797,0.6288802879197257,349,제주특별자치도 서귀포시 태평로353번길 22-3,B02,B0201,B02011100,0,0,0,0,제주특별자치도,서귀포시
350,350,카세로지,0.5544837315877279,0.71966153383255,0.6977209647496542,0.6439240574836731,350,제주특별자치도 서귀포시 표선면 가시로 383,B02,B0201,B02010100,0,0,0,1,제주특별자치도,서귀포시
351,351,카올린B&B펜션,0.5620898902416229,0.6282097101211548,0.7118432521820068,0.8109382092952728,351,경상남도 거제시 일운면 반송재로 562,B02,B0201,B02010700,0,0,0,0,경상남도,거제시
352,352,카인드호텔,0.551308736205101,0.6764349520206452,0.6671936094760895,0.6270081579685212,352,경기도 성남시 분당구 서현동 261-3 카인드호텔,B02,B0201,B02010100,0,0,1,0,경기도,성남시
353,353,카파스호텔,0.4768908739089966,0.6156846821308136,0.6025535583496093,0.5961262822151184,353,서울특별시 강남구 언주로89길 21 (역삼동),B02,B0201,B02010100,0,0,0,0,서울특별시,강남구
354,354,컨피네스 비치호텔,0.551220253109932,0.7005955696105957,0.6879727780818939,0.6410273790359498,354,강원특별자치도 속초시 해오름로 171,B02,B0201,B02010100,1,0,1,0,강원특별자치도,속초시
355,355,코레스코치악산콘도미니엄,0.4890310138463974,0.6160137295722962,0.5895854115486145,0.5678243726491928,355,강원특별자치도 횡성군 우천면 전재로 254,B02,B0201,B02010500,0,0,1,0,강원특별자치도,횡성군
356,356,코암 관광호텔,0.5211968213319779,0.6421543478965759,0.6353347957134247,0.6411689102649689,356,경기도 안양시 만안구 만안로 101,B02,B0201,B02010100,0,0,1,1,경기도,안양시
357,357,코트야드 바이 메리어트 서울타임스퀘어,0.514412346482277,0.6758329451084137,0.6477138996124268,0.6050318479537964,357,서울특별시 영등포구 영중로 15,B02,B0201,B02010100,0,0,1,1,서울특별시,영등포구
358,358,코트야드바이메리어트수원,0.5552187889814377,0.7042236149311065,0.666536271572113,0.6175300121307373,358,경기도 수원시 영통구 광교호수공원로 320,B02,B0201,B02010100,0,0,0,0,경기도,수원시
359,359,콩쥐팥쥐 관광 한옥리조트,0.5372089296579361,0.6935939788818359,0.6535881221294403,0.5893161237239838,359,전북특별자치도 완주군 이서면 신지앵곡길 237-10,B02,B0201,B02011100,0,0,0,0,전북특별자치도,완주군
360,360,쿠즈모텔,0.5465403629673852,0.6371867524252998,0.6658289829889933,0.7095515926678976,360,서울특별시 종로구 돈화문로11가길 83,B02,B0201,B02010900,0,0,0,0,서울특별시,종로구
361,361,퀸크루즈 리조텔 콘도,0.5462414056062699,0.6557900577783584,0.6448675930500031,0.632047376036644,361,경상남도 거제시 동부면 거제대로 975,B02,B0201,B02010500,0,0,0,0,경상남도,거제시
362,362,퀸타운호텔,0.4874417424201965,0.636515599489212,0.598993906378746,0.580833837389946,362,경기도 고양시 일산동구 장항동,B02,B0201,B02010100,0,0,0,0,경기도,고양시
363,363,키즈스테이호텔 인 부곡,0.5598964869976044,0.7084717333316803,0.6712310612201691,0.6258318066596985,363,경상남도 창녕군 온천2길 48,B02,B0201,B02010900,0,0,1,1,경상남도,창녕군
364,364,킨텍스 바이 케이트리,0.5088248908519745,0.672486424446106,0.632221382856369,0.5954475045204163,364,경기도 고양시 일산서구 킨텍스로 255-3 K-TREE,B02,B0201,B02010100,0,0,0,1,경기도,고양시
365,365,타미우스골프&빌리지,0.5498519331216812,0.6511032462120057,0.6676724970340728,0.6893334925174713,365,제주특별자치도 제주시 애월읍 화전길 201,B02,B0201,B02010500,0,0,0,0,제주특별자치도,제주시
366,366,타셋펜션,0.5435558060805002,0.6580808957417806,0.6692120432853699,0.6293723185857137,366,경상남도 통영시 용남면 연기안길 119,B02,B0201,B02010700,1,0,1,0,경상남도,통영시
367,367,타워힐호텔,0.4259502559900284,0.4951626628637314,0.5076856762170792,0.5331127256155014,367,부산광역시 중구 백산길 20,B02,B0201,B02010100,0,0,0,0,부산광역시,중구
368,368,탑클라우드 천안점,0.5821361780166626,0.6776344120502472,0.7042291402816773,0.6642658829689025,368,충청남도 천안시 동남구 서부역6길 3,B02,B0201,B02010100,0,0,0,0,충청남도,천안시
369,369,태생파크,0.645944133400917,0.7053633034229279,0.7596678286790848,0.8212730884552002,369,강원특별자치도 화천군 화천읍 중앙로2길 31-4,B02,B0201,B02010900,0,0,1,0,강원특별자치도,화천군
370,370,텔콘채록지,0.4100567528179714,0.5168302527495793,0.5251357427665165,0.5813777191298348,370,강원특별자치도 속초시 동해대로 4080,B02,B0201,B02010900,1,0,0,1,강원특별자치도,속초시
371,371,토모노야호텔&료칸 대천,0.5266954094171524,0.6881222307682038,0.6519268870353698,0.6076144635677337,371,충청남도 보령시 해안로 341 호텔,B02,B0201,B02010100,0,0,0,0,충청남도,보령시
372,372,토브의 강가,0.6524196863174438,0.7031104415655136,0.6953818649053574,0.6709985584020615,372,경기도 양평군 용문면 용문삼성로20번길 73-12,B02,B0201,B02010700,0,0,0,0,경기도,양평군
373,373,토비스콘도 도고,0.3991975784301758,0.5597914457321167,0.5018119812011719,0.4906453490257263,373,충청남도 아산시 도고면 기곡로77번길 39,B02,B0201,B02010500,0,0,0,0,충청남도,아산시
374,374,토비스콘도 제주,0.5344159036874772,0.6861157804727555,0.680286654829979,0.6228748351335526,374,제주특별자치도 제주시 애월읍 애월로1길 8,B02,B0201,B02010500,0,0,1,1,제주특별자치도,제주시
375,375,토요코인호텔 강남,0.5229812502861023,0.6607953578233718,0.6188775897026062,0.5756575852632523,375,서울특별시 서초구 강남대로 323 (서초동),B02,B0201,B02010100,0,0,1,0,서울특별시,서초구
376,376,토요코인호텔 부산서면,0.5397939324378968,0.6995513737201691,0.6686340749263764,0.6145745575428009,376,부산광역시 부산진구 서전로 39,B02,B0201,B02010100,0,1,1,0,부산광역시,부산진구
377,377,통영거북선호텔,0.3626246333122253,0.4500277519226074,0.4479809999465942,0.4813194453716278,377,경상남도 통영시 미수해안로 72,B02,B0201,B02010100,0,0,1,1,경상남도,통영시
378,378,통영더스토리 게스트하우스,0.4896085858345032,0.650497317314148,0.595090389251709,0.5527267456054688,378,경상남도 통영시 도남로 175-27,B02,B0201,B02011100,0,0,0,0,경상남도,통영시
379,379,통영바다사랑펜션,0.5256900906562805,0.6441505461931228,0.6220395296812058,0.6094863474369049,379,경상남도 통영시 산양읍 삼칭이해안길 226-2,B02,B0201,B02010700,1,0,1,0,경상남도,통영시
380,380,통영비치캐슬호텔,0.4796984612941742,0.5594203770160675,0.5746562421321869,0.6432300329208374,380,경상남도 통영시 평인일주로 486-1,B02,B0201,B02010100,0,0,1,0,경상남도,통영시
381,381,통영호텔 휴,0.4930762141942978,0.5992860168218612,0.5827210783958435,0.6071005672216415,381,경상남도 통영시 통영해안로 573,B02,B0201,B02010100,0,0,1,1,경상남도,통영시
382,382,트레블로지 동대문 호텔,0.4614856123924255,0.6433517634868622,0.6053131282329559,0.5785592585802078,382,서울특별시 중구 동호로 359,B02,B0201,B02010100,0,0,1,0,서울특별시,중구
383,383,트레블로지 명동 시티홀,0.4312435477972031,0.5298816740512848,0.5252212703227996,0.5575066804885864,383,서울특별시 중구 세종대로16길 22,B02,B0201,B02010100,0,0,0,0,서울특별시,중구
384,384,트리아 관광호텔,0.4624591171741485,0.5366356045007705,0.5573362916707992,0.6194982767105103,384,서울특별시 강남구 테헤란로33길 16,B02,B0201,B02010100,0,0,0,0,서울특별시,강남구
385,385,파로스 관광호텔 (HOTEL PHAROS),0.5434871256351471,0.7116310000419617,0.6779757678508759,0.6300495445728302,385,서울특별시 송파구 올림픽로10길 5,B02,B0201,B02010100,1,0,0,0,서울특별시,송파구
386,386,파주메이트호텔,0.5150523722171784,0.6278225719928742,0.6053187489509583,0.575417560338974,386,경기도 파주시 탄현면 엘씨디로241번길 39-35,B02,B0201,B02010100,0,0,0,0,경기도,파주시
387,387,파크로쉬 리조트앤웰니스 (PARK ROCHE Resort&Wellness),0.5602593302726746,0.7218430280685425,0.6761789798736573,0.6300740420818329,387,강원특별자치도 정선군 북평면 중봉길 9-12,B02,B0201,B02010100,0,0,0,1,강원특별자치도,정선군
388,388,파티오세븐 호텔,0.421566292643547,0.5368141680955887,0.514716500043869,0.4693289816379547,388,서울특별시 강남구 논현로 736 (논현동),B02,B0201,B02010100,0,0,1,0,서울특별시,강남구
389,389,파티즈호텔,0.5475490272045136,0.7295586705207825,0.673757529258728,0.6192779302597046,389,경기도 수원시 권선구 서부로1934번길 42,B02,B0201,B02010100,0,0,1,0,경기도,수원시
390,390,팔공산맥섬석 유스호스텔,0.5433130264282227,0.6556745966275533,0.6275800267855326,0.6295580665270487,390,대구광역시 동구 갓바위로 223-35,B02,B0201,B02010600,0,0,0,0,대구광역시,동구
391,391,팜비치리조텔,0.5664321541786194,0.7149941921234131,0.6936182677745819,0.662742531299591,391,경상남도 통영시 도남로 257-45 팜비치리조텔,B02,B0201,B02010500,1,0,1,0,경상남도,통영시
392,392,팜파스호텔제주,0.539542418718338,0.6716024875640869,0.6547111809253693,0.6212250173091889,392,제주특별자치도 제주시 서해안로 368-3 (용담삼동),B02,B0201,B02010100,1,0,1,0,제주특별자치도,제주시
393,393,퍼센트 게스트하우스,0.4453246146440506,0.5257880091667175,0.5645729601383209,0.6775030195713043,393,대구광역시 중구 달구벌대로446길 28-8 (대봉동),B02,B0201,B02011600,0,0,0,0,대구광역시,중구
394,394,펜션수가성,0.5499003052711486,0.7205810308456421,0.6827831029891968,0.6398509502410888,394,강원특별자치도 평창군 봉평면 팔송로 248-49,B02,B0201,B02010700,0,0,1,1,강원특별자치도,평창군
395,395,펜션지아니,0.4942943453788757,0.6069876775145531,0.5797146335244179,0.5247072204947472,395,강원특별자치도 강릉시 강동면 정동3길 32-11,B02,B0201,B02010700,1,0,1,0,강원특별자치도,강릉시
396,396,평창아름다운세상,0.559030810991923,0.7203270196914673,0.6635891993840536,0.6140838464101156,396,강원특별자치도 평창군 봉평면 봉평북로 94-6,B02,B0201,B02010700,0,0,1,0,강원특별자치도,평창군
