,addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
28,강원특별자치도 평창군 평창읍 노람들길 209-5,,32,,A03,A0304,A03040300,131925,28,20070413090000,http://tong.visitkorea.or.kr/cms/resource/97/2830697_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/97/2830697_image3_1.JPG,Type3,128.4074416820,37.3735668457,6,20231020094849,15,,조나단 패러글라이딩 스쿨,25375
29,충청북도 단양군 가곡면 두산길 262,,33,,A03,A0304,A03040300,3074903,28,20231123114603,http://tong.visitkorea.or.kr/cms/resource/89/3074889_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/89/3074889_image3_1.JPG,Type3,128.4006504571,37.0024011100,6,20231226153611,2,,짱 패러글라이딩,27021
30,충청북도 단양군 가곡면 두산길 262,,33,,A03,A0304,A03040300,3074913,28,20231123115218,http://tong.visitkorea.or.kr/cms/resource/11/3074911_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/11/3074911_image3_1.JPG,Type3,128.4006504571,37.0024011100,6,20231226154134,2,,청춘 패러,27021
31,전북특별자치도 남원시 식정동,,37,,A03,A0304,A03040200,3040312,28,202401181743,http://tong.visitkorea.or.kr/cms/resource/06/3040306_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/3040306_image3_1.jpg,Type3,127.4349678473,35.4580096968,6,20240118174312,4,,케이원항공경비행기조종체험비행,55725
32,충청북도 단양군 가곡면 두산길 252,,33,,A03,A0304,A03040300,2769871,28,20211108224923,http://tong.visitkorea.or.kr/cms/resource/83/2770883_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/2770883_image2_1.jpg,Type3,128.3999838763,37.0015039785,6,20231229100013,2,,코리아패러글라이딩,27021
33,충청북도 단양군 가곡면 두산길 196-86,,33,,A03,A0304,A03040300,3076564,28,20231123141750,,,,128.3944012406,36.9947185423,6,20231228160434,2,,패러다이스,27021
34,충청북도 단양군 가곡면 두산길 196-86,,33,,A03,A0304,A03040300,3074991,28,20231123142535,http://tong.visitkorea.or.kr/cms/resource/66/3074966_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/66/3074966_image3_1.JPG,Type3,128.3944012406,36.9947185423,6,20231226160806,2,,패러이야기,27021
35,경기도 용인시 처인구 포곡읍 성산로 521,,31,,A03,A0304,A03040100,2623831,28,20191010223049,http://tong.visitkorea.or.kr/cms/resource/26/2623826_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/26/2623826_image2_1.bmp,Type3,127.1992229159,37.2809441143,6,20231207155911,23,,플라이스테이션,17024
36,경기도 수원시 팔달구 지동 255-4,,31,,A03,A0304,A03040400,2714220,28,20210421233515,http://tong.visitkorea.or.kr/cms/resource/51/2661151_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/2661151_image3_1.jpg,Type3,127.0264106512,37.2867042378,6,20230302100052,13,,플라잉 수원,
37,경상남도 함안군 법수면 악양길 43,,36,0,A03,A0304,A03040200,2713259,12,20210407222825,http://tong.visitkorea.or.kr/cms/resource/27/2608027_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2608027_image3_1.jpg,Type3,128.3870874192,35.3300299100,6,20231109145258,19,,함안경비행장 (성우항공산업),52057
38,경상남도 합천군 초계면 우회로 179,,36,,A03,A0304,A03040300,3058800,28,20231205122147,http://tong.visitkorea.or.kr/cms/resource/98/3058798_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/3058798_image3_1.jpg,Type3,128.2405359995,35.5510384628,6,20231205122554,21,,합천패러글라이딩파크,50245
