,addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
875,서울특별시 강서구 마곡동로 161,(마곡동),1,0,A02,A0202,A02020700,2733983,12,20210817192742,http://tong.visitkorea.or.kr/cms/resource/98/2780698_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/2780698_image2_1.jpg,Type3,126.8328563613,37.5722981936,6,20230228131625,4,,서울식물원 호수공원,07789
876,서울특별시 광진구 능동로 216,(능동),1,0,A02,A0202,A02020600,126490,12,20041230090000,,,,127.0807288607,37.5494219613,6,20240312165955,6,,서울어린이대공원,04991
877,서울특별시 마포구 마포나루길 407,,1,0,A02,A0202,A02020700,2661506,12,20200630182244,,,,126.8939818053,37.5558484197,6,20231113140134,13,,서울함공원,03954
878,경상남도 창원시 마산합포구 교방동,,36,0,A02,A0202,A02020700,127703,12,20071011090000,http://tong.visitkorea.or.kr/cms/resource/13/3071713_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/3071713_image3_1.jpg,Type3,128.5568396943,35.2093909858,6,20231215175328,16,,서원곡유원지,51269
879,대구광역시 달성군 다사읍 방천리,,4,,A02,A0202,A02020700,3015864,12,20230824102848,http://tong.visitkorea.or.kr/cms/resource/83/3015783_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/83/3015783_image3_1.JPG,Type3,128.5032259590,35.8843305531,6,20230926141304,3,,서재체육공원,42926
880,충청남도 서천군 충서로302번길 88-81 치유센터,,34,0,A02,A0202,A02020500,2720028,12,20210608205153,,,,126.6599753082,36.1149493668,6,20240312164419,8,,서천 치유의 숲,33610
881,경상북도 영주시 영주동,470-1,35,,A02,A0202,A02020700,3089951,12,20230831113204,http://tong.visitkorea.or.kr/cms/resource/42/3089942_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/42/3089942_image3_1.JPG,Type3,128.6139921000,36.8261586756,6,20240126174921,14,,서천둔치(영주),36077
882,경기도 용인시 기흥구 서천서로 65,(서천동),31,0,A02,A0202,A02020700,2733848,12,20210813192852,http://tong.visitkorea.or.kr/cms/resource/76/2774176_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/2774176_image2_1.jpg,Type3,127.0686053875,37.2387438783,6,20231103144746,23,,서천레스피아,17107
883,제주특별자치도 제주시 조천읍 남조로 2243,,39,0,A02,A0202,A02020600,2633955,12,20191107225841,http://tong.visitkorea.or.kr/cms/resource/82/2638282_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/2638282_image2_1.jpg,Type3,126.6596065516,33.4652169011,6,20230610085734,4,,서프라이즈 테마파크,63345
884,경상남도 통영시 서호동 6-1,,36,0,A02,A0202,A02020700,2763714,12,20211027225327,http://tong.visitkorea.or.kr/cms/resource/89/2763689_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/2763689_image2_1.jpg,Type3,128.4210029248,34.8440961439,6,20240423220041,17,,서피랑공원,
885,전북특별자치도 고창군 심원면 애향갯벌로 311,,37,0,A02,A0202,A02020700,2662512,12,20200707201113,,,,126.5147698594,35.5310384693,6,20240124100910,1,,서해안 바람공원,56401
886,경기도 수원시 팔달구 화서동 436-1,(화서동),31,0,A02,A0202,A02020700,2781854,12,20211126215456,http://tong.visitkorea.or.kr/cms/resource/99/2781999_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2781999_image2_1.jpg,Type3,126.9888031917,37.2782156608,6,20240423181735,13,,서호공원,16432
887,경기도 수원시 팔달구 수성로 100,(화서동),31,0,A02,A0202,A02020700,2739474,12,20210903001857,http://tong.visitkorea.or.kr/cms/resource/19/2740519_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/2740519_image2_1.jpg,Type3,126.9884058506,37.2837594563,6,20230302095132,13,,서호꽃뫼공원,16432
888,경기도 이천시 부발읍 무촌로18번길 130,,31,0,A02,A0202,A02020600,2763838,12,20211027235153,http://tong.visitkorea.or.kr/cms/resource/88/2763888_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/88/2763888_image2_1.png,Type3,127.4820002003,37.2769663601,6,20230403110828,26,,서희테마파크,17325
889,인천광역시 서구 가정로294번길 20,(석남동),2,0,A02,A0202,A02020700,2767723,12,20211103224320,http://tong.visitkorea.or.kr/cms/resource/39/2780639_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/39/2780639_image2_1.png,Type3,126.6749641555,37.5108747543,6,20230208135500,7,,석남체육공원,22784
890,경상남도 진주시 진주대로 685,(가좌동),36,0,A02,A0202,A02020700,2744504,12,20210914231453,http://tong.visitkorea.or.kr/cms/resource/88/2746288_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/88/2746288_image2_1.JPG,Type3,128.1051276104,35.1659738682,6,20231020153440,13,,석류공원,52816
891,인천광역시 강화군 삼산면 삼산남로 865-17,,2,0,A02,A0202,A02020300,2490886,12,20170425184418,http://tong.visitkorea.or.kr/cms/resource/92/2490892_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/92/2490892_image2_1.JPG,Type3,126.3127674439,37.6854313921,6,20240129132655,1,,석모도 미네랄 온천,23007
892,경기도 안양시 만안구 안양로 595,(석수동),31,0,A02,A0202,A02020700,2738364,12,20210901005945,http://tong.visitkorea.or.kr/cms/resource/74/2768274_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2768274_image2_1.jpg,Type3,126.9027458698,37.4223668577,6,20231205101857,17,,석수체육공원,13904
893,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 34,2층,39,,A02,A0202,A02020500,3012012,12,20230918145712,http://tong.visitkorea.or.kr/cms/resource/80/3011980_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/3011980_image3_1.jpg,Type3,126.9195734269,33.4421097515,6,20230918145735,3,,석예원 본초 족욕 성산점,63641
894,경상북도 칠곡군 석적읍 남율리 790,,35,0,A02,A0202,A02020700,2664533,12,20200722190817,,,,128.3912306354,36.0717905658,6,20231219125239,22,,석적체육공원,
895,전북특별자치도 고창군 고창읍 석정2로 173,,37,0,A02,A0202,A02020300,2778917,12,20211124234916,http://tong.visitkorea.or.kr/cms/resource/25/2780625_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/2780625_image2_1.jpg,Type3,126.7410244472,35.4320812865,6,20240118095832,1,,석정온천휴스파,56451
896,제주특별자치도 제주시 선교로 267 선녀와나무꾼테마공원,,39,0,A02,A0202,A02020600,598187,12,20080730011523,http://tong.visitkorea.or.kr/cms/resource/94/3077594_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/3077594_image3_1.jpg,Type3,126.7020747488,33.4800659394,6,20240102133627,4,,선녀와나무꾼 테마공원,63341
897,경상북도 경주시 북군동 114-11,,35,0,A02,A0202,A02020700,2732162,12,20210809200426,,,,129.2704038669,35.8525290155,6,20230405091118,2,,선덕여왕공원,
898,경기도 양주시 월정로 14,(옥정동),31,0,A02,A0202,A02020700,2751283,12,20210929225011,http://tong.visitkorea.or.kr/cms/resource/21/2751421_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2751421_image2_1.jpg,Type3,127.0811627046,37.8214847624,6,20231019144050,18,,선돌근린공원,11471
899,울산광역시 울주군 범서읍 입암리,129-1,7,,A02,A0202,A02020700,2871593,12,20221020114852,http://tong.visitkorea.or.kr/cms/resource/84/2871584_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/84/2871584_image3_1.JPG,Type3,129.2344951937,35.5833642290,6,20230207110242,5,,선바위공원,44926
900,경상북도 영양군 입암면 영양로 883-16,(입암면),35,0,A02,A0202,A02020200,2043682,12,20151126190109,http://tong.visitkorea.or.kr/cms/resource/61/2043661_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2043661_image2_1.jpg,Type3,129.0819513306,36.6085729884,6,20240105140226,13,,선바위관광지,36546
901,울산광역시 남구 선암호수길 104,,7,0,A02,A0202,A02020700,1824216,12,20130628015950,http://tong.visitkorea.or.kr/cms/resource/19/2662719_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/19/2662719_image2_1.bmp,Type3,129.3260724005,35.5170400753,6,20240306152828,2,,선암호수공원,44772
902,대구광역시 달서구 용산동,,4,,A02,A0202,A02020700,3015813,12,20230823172739,http://tong.visitkorea.or.kr/cms/resource/32/3015732_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/32/3015732_image3_1.JPG,Type3,128.5149478354,35.8595530192,6,20230926135911,2,,선원공원,42606
903,전북특별자치도 군산시 비응로 6,(비응도동),37,0,A02,A0202,A02020800,128944,12,20060425090000,http://tong.visitkorea.or.kr/cms/resource/54/2689954_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2689954_image3_1.jpg,Type3,126.4131272888,35.8165459289,6,20240118105545,2,,선유도 월명유람선,54003
904,서울특별시 영등포구 선유로 343,(당산동),1,0,A02,A0202,A02020700,2661405,12,20200629200717,http://tong.visitkorea.or.kr/cms/resource/01/2678801_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2678801_image3_1.jpg,Type3,126.9018342452,37.5424362298,6,20230711170935,20,,선유도공원,07200
905,충청남도 아산시 선장면 선장로 121-10,,34,0,A02,A0202,A02020700,2753921,12,20211006223857,,,,126.8596088645,36.7904030637,6,20230228110858,9,,선장포노을공원,31546
906,경상남도 사천시 용현면 선진리,770,36,0,A02,A0202,A02020700,1622479,12,20120504203751,,,,128.0415530294,35.0447335856,6,20231122174634,8,,선진공원,52537
907,경기도 이천시 경충대로2709번길 128,,31,0,A02,A0202,A02020700,1624755,12,20120508202335,,,,127.4263051848,37.2788706826,6,20231208151037,26,,설봉공원,17379
908,충청북도 음성군 음성읍 설성공원길 28,(음성읍),33,0,A02,A0202,A02020700,1116129,12,20101025185806,http://tong.visitkorea.or.kr/cms/resource/50/1077750_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/1077750_image3_1.jpg,Type3,127.6910994451,36.9329542953,6,20230403141744,6,,설성공원,27703
909,강원특별자치도 속초시,,32,0,A02,A0202,A02020200,1958133,12,20141021203252,http://tong.visitkorea.or.kr/cms/resource/39/1950339_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/1950339_image3_1.jpg,Type3,128.4241422719,38.1284602517,6,20230703083330,5,,설악 관광특구,24903
910,강원특별자치도 속초시 관광로408번길 14,(노학동),32,0,A02,A0202,A02020300,129399,12,20061130090000,,,,128.5388880926,38.1956907579,6,20230703163522,5,,설악 파인리조트 가든스파,24859
911,강원특별자치도 속초시 사당골길 43,,32,,A02,A0202,A02020200,136634,32,20051122090000,http://tong.visitkorea.or.kr/cms/resource/74/1335574_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/1335574_image3_1.jpg,Type3,128.5496875363,38.1820481114,6,20230720144744,5,033-636-8000,설악금호리조트,24868
912,강원특별자치도 고성군 죽왕면 순포로 188,,32,,A02,A0202,A02020200,951363,32,20100218192643,http://tong.visitkorea.or.kr/cms/resource/17/1335517_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/1335517_image3_1.jpg,Type3,128.5116034759,38.3161900784,6,20231023151438,2,033-630-5362,설악썬밸리골프리조트,24750
913,강원특별자치도 속초시 관광로408번길 14,,32,,A02,A0202,A02020200,228911,32,20061122090000,http://tong.visitkorea.or.kr/cms/resource/08/1581608_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/1581608_image3_1.jpg,Type3,128.5389130890,38.1957324196,6,20230702183412,5,033-635-5800,설악파인리조트,24859
914,강원특별자치도 고성군 토성면 잼버리동로 97,,32,,A02,A0202,A02020200,136082,32,20031218090000,http://tong.visitkorea.or.kr/cms/resource/52/1581452_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/1581452_image3_1.jpg,Type3,128.5195664383,38.2337859469,6,20231016145427,2,033-633-9100,설악포유리조트,24763
915,강원특별자치도 양양군 손양면 공항로 230,,32,,A02,A0202,A02020200,2710638,32,20210324001222,,,,128.6642227481,38.0556122607,6,20230702112954,7,033-670-7700,설해원,25042
916,전북특별자치도 완주군 이서면 농생명로 100,,37,0,A02,A0202,A02020700,2669909,12,202401181743,,,,127.0328298697,35.8335462176,6,20240118174312,8,,설화공원,55365
917,서울특별시 강남구 도산대로45길 18,,1,0,A02,A0202,A02020300,2660725,12,20200623183835,,,,127.0355003778,37.5236074796,6,20231220172928,1,,설화수 플래그십 스토어,06021
