,Unnamed: 0,name,naverURL,contains_review
178,178,공주잉크관광호텔,"https://map.naver.com/p/search/%EA%B3%B5%EC%A3%BC%EC%9E%89%ED%81%AC%EA%B4%80%EA%B4%91%ED%98%B8%ED%85%94/place/1965258425?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
182,182,관광펜션 시실리(평창시실리펜션),"https://map.naver.com/p/search/%EA%B4%80%EA%B4%91%ED%8E%9C%EC%85%98%20%EC%8B%9C%EC%8B%A4%EB%A6%AC%28%ED%8F%89%EC%B0%BD%EC%8B%9C%EC%8B%A4%EB%A6%AC%ED%8E%9C%EC%85%98%29/place/1709755964?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
185,185,광명JS부티크호텔,"https://map.naver.com/p/search/%EA%B4%91%EB%AA%85JS%EB%B6%80%ED%8B%B0%ED%81%AC%ED%98%B8%ED%85%94/place/38331679?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
186,186,광이멀스테이,"https://map.naver.com/p/search/%EA%B4%91%EC%9D%B4%EB%A9%80%EC%8A%A4%ED%85%8C%EC%9D%B4/place/1245521087?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
189,189,광주 아우라호텔,"https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%20%EC%95%84%EC%9A%B0%EB%9D%BC%ED%98%B8%ED%85%94/place/1716104086?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
195,195,구공스테이 태화,"https://map.naver.com/p/search/%EA%B5%AC%EA%B3%B5%EC%8A%A4%ED%85%8C%EC%9D%B4%20%ED%83%9C%ED%99%94/place/1730576220?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
196,196,구례 자연드림파크 휴펜션,"https://map.naver.com/p/search/%EA%B5%AC%EB%A1%80%20%EC%9E%90%EC%97%B0%EB%93%9C%EB%A6%BC%ED%8C%8C%ED%81%AC%20%ED%9C%B4%ED%8E%9C%EC%85%98/place/33015280?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
202,202,구름위의테라스,"https://map.naver.com/p/search/%EA%B5%AC%EB%A6%84%EC%9C%84%EC%9D%98%ED%85%8C%EB%9D%BC%EC%8A%A4/place/13063006?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
212,212,국제청소년센터 유스호스텔,"https://map.naver.com/p/search/%EA%B5%AD%EC%A0%9C%EC%B2%AD%EC%86%8C%EB%85%84%EC%84%BC%ED%84%B0%20%EC%9C%A0%EC%8A%A4%ED%98%B8%EC%8A%A4%ED%85%94/place/11660018?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
214,214,군학마을,"https://map.naver.com/p/search/%EA%B5%B0%ED%95%99%EB%A7%88%EC%9D%84/place/20059410?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
